1,10th Edition
2,7th Edition
3,8th Edition
4,9th Edition
1857,Aether Revolt
5,Alara Reborn
6,Alliances
7,Alpha Edition
1882,Amonkhet
1275,Anthologies
8,Antiquities
9,APAC Lands
10,Apocalypse
11,Arabian Nights
12,Archenemy
1904,Archenemy: Nicol Bolas
13,Arena Promos
2463,Art Series: Modern Horizons
14,Astral
362,Avacyn Restored
1645,Battle for Zendikar
15,Battle Royale Box Set
2245,Battlebond
16,Beatdown Box Set
17,Beta Edition
18,Betrayers of Kamigawa
1276,Born of the Gods
19,Box Sets
2156,Buy-A-Box Promos
2203,Challenger Decks
20,Champions of Kamigawa
21,Champs Promos
22,Chronicles
23,Classic Sixth Edition
24,Coldsnap
1348,Coldsnap Theme Deck Reprints
1526,Collector's Edition
25,Commander
1164,Commander 2013
1476,Commander 2014
1673,Commander 2015
1792,Commander 2016
2009,Commander 2017
2251,Commander 2018
2481,Commander 2019
1933,Commander Anthology
2246,Commander Anthology Volume II
568,Commander's Arsenal
26,Conflux
1312,Conspiracy
1794,Conspiracy: Take the Crown
2250,Core Set 2019
2441,Core Set 2020
125,Dark Ascension
27,Darksteel
1311,Deckmasters Garfield vs Finkel
28,Dissension
2199,Dominaria
570,Dragon's Maze
1515,Dragons of Tarkir
29,Duel Decks
30,Duel Decks: Ajani vs. Nicol Bolas
1490,Duel Decks: Anthology
1726,Duel Decks: Blessed vs. Cursed
31,Duel Decks: Divine vs. Demonic
1511,Duel Decks: Elspeth vs. Kiora
32,Duel Decks: Elspeth vs. Tezzeret
33,Duel Decks: Elves vs. Goblins
2207,Duel Decks: Elves vs. Inventors
34,Duel Decks: Garruk vs. Liliana
1145,Duel Decks: Heroes vs. Monsters
365,Duel Decks: Izzet vs. Golgari
35,Duel Decks: Jace vs. Chandra
1166,Duel Decks: Jace vs. Vraska
36,Duel Decks: Knights vs. Dragons
2076,Duel Decks: Merfolk vs. Goblins
1905,Duel Decks: Mind vs. Might
1835,Duel Decks: Nissa vs. Ob Nixilis
37,Duel Decks: Phyrexia vs. the Coalition
601,Duel Decks: Sorin vs. Tibalt
1477,Duel Decks: Speed vs. Cunning
367,Duel Decks: Venser vs. Koth
1641,Duel Decks: Zendikar vs. Eldrazi
1274,Duels of the Planeswalkers
1790,Eldritch Moon
1740,Eternal Masters
38,European Lands
39,Eventide
40,Exodus
2077,Explorers of Ixalan
41,Fallen Empires
1497,Fate Reforged
43,Fifth Dawn
44,Fifth Edition
45,FNM Promos
46,Fourth Edition
1688,Fourth Edition (Foreign Black Border)
1687,Fourth Edition (Foreign White Border)
1577,From the Vault: Angels
1475,From the Vault: Annihilation
47,From the Vault: Dragons
48,From the Vault: Exiled
49,From the Vault: Legends
1821,From the Vault: Lore
368,From the Vault: Realms
50,From the Vault: Relics
2078,From the Vault: Transform
1141,From the Vault: Twenty
51,Future Sight
52,Game Day & Store Championship Promos
569,Gatecrash
2084,Gift Boxes and Promos
2247,Global Series Jiang Yanggu & Mu Yanling
54,Grand Prix Promos
55,Guildpact
2290,Guilds of Ravnica
2334,Guilds of Ravnica: Guild Kits
56,Guru Lands
1524,Hero's Path Promos
57,Homelands
1934,Hour of Devastation
58,Ice Age
2050,Iconic Masters
59,Innistrad
1527,International Edition
60,Invasion
2043,Ixalan
2351,JingHe Age Token Cards
1277,Journey Into Nyx
62,Judge Promos
63,Judgment
61,Junior Series Promos
1791,Kaladesh
1356,Khans of Tarkir
1874,Launch Party & Release Event Promos
2087,League Promos
65,Legends
66,Legions
67,Lorwyn
68,Magic 2010 (M10)
69,Magic 2011 (M11)
70,Magic 2012 (M12)
364,Magic 2013 (M13)
1113,Magic 2014 (M14)
1293,Magic 2015 (M15)
2359,Magic Game Night
1346,Magic Modern Event Deck
1512,Magic Origins
71,Magic Player Rewards
369,Magic Premiere Shop
2376,MagicFest Cards
1909,Masterpiece Series: Amonkhet Invocations
1837,Masterpiece Series: Kaladesh Inventions
2189,Masters 25
72,Media Promos
73,Mercadian Masques
74,Mirage
75,Mirrodin
76,Mirrodin Besieged
2422,Modern Horizons
1111,Modern Masters
1503,Modern Masters 2015
1879,Modern Masters 2017
77,Morningtide
2326,Mythic Edition: Guilds of Ravnica
2386,Mythic Edition: Ravnica Allegiance
2444,Mythic Edition: War of the Spark
78,Nemesis
79,New Phyrexia
1693,Oath of the Gatewatch
80,Odyssey
81,Onslaught
2045,Open House Promos
82,Oversize Cards
83,Planar Chaos
84,Planechase
363,Planechase 2012
1793,Planechase Anthology
85,Planeshift
86,Portal
87,Portal Second Age
88,Portal Three Kingdoms
89,Premium Deck Series: Fire and Lightning
90,Premium Deck Series: Graveborn
91,Premium Deck Series: Slivers
92,Prerelease Cards
93,Pro Tour Promos
2477,Promo Pack: Core Set 2020
94,Prophecy
2366,Ravnica Allegiance
2388,Ravnica Allegiance: Guild Kits
95,Ravnica: City of Guilds
2379,Renaissance
370,Return to Ravnica
97,Revised Edition
1689,Revised Edition (Foreign Black Border)
1690,Revised Edition (Foreign White Border)
98,Rise of the Eldrazi
2098,Rivals of Ixalan
99,Saviors of Kamigawa
100,Scars of Mirrodin
101,Scourge
102,Shadowmoor
1708,Shadows over Innistrad
103,Shards of Alara
2447,Signature Spellbook: Gideon
2220,Signature Spellbook: Jace
104,Special Occasion
2307,Spellslinger Starter Kit
2067,Standard Showdown Promos
105,Starter 1999
106,Starter 2000
107,Stronghold
1520,Tarkir Dragonfury Promos
108,Tempest
109,The Dark
1144,Theros
110,Time Spiral
111,Timeshifted
112,Torment
1507,Ugin's Fate Promos
2360,Ultimate Masters
2361,Ultimate Masters: Box Toppers
113,Unglued
114,Unhinged
1163,Unique and Miscellaneous Promos
115,Unlimited Edition
2092,Unstable
116,Urza's Destiny
117,Urza's Legacy
118,Urza's Saga
119,Vanguard
120,Visions
2418,War of the Spark
121,Weatherlight
1765,Welcome Deck 2016
1930,Welcome Deck 2017
1832,WMCQ Promo Cards
2198,World Championship Decks
122,Worldwake
53,WPN & Gateway Promos
124,Zendikar
1649,Zendikar Expeditions
